Application Name,Owning Group,BMC Remedy Queue,New Structure Remedy Queue
,,,
1 Business Post Office v3.16,SAP,GCC SAP,CORP SAP
2100 Bioanalyser,GenApps,GCC General Apps,GCC Line of Business
3D Analyst,GenApps,GCC General Apps,GCC Line of Business
3D Max v8,GenApps,GCC General Apps,GCC Line of Business
3Sixty,Parking,GCC Parking,GCC Line of Business
3sixty Citizen,Parking,GCC Parking,GCC Line of Business
4th Floor Flexi System,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
7 Zip File Manager,Desktop,GCC Desktop Model Office,DLM Scotland
ABBY FineReader,Desktop,GCC Desktop Model Office,DLM Scotland
Academy Desktop,Finance,GCC Fin & Citizen,GCC Citizen Centric
Academy Launcher v6.0,Finance,GCC Fin & Citizen,GCC Citizen Centric
Academy NDR,Finance,GCC Fin & Citizen,GCC Citizen Centric
Academy QA Module,Finance,GCC Fin & Citizen,GCC Citizen Centric
Access Runtime v2010,Desktop,GCC Desktop Model Office,DLM Scotland
Access v2010,Desktop,GCC Desktop Model Office,DLM Scotland
Accounts Payable Workbench,SAP,GCC SAP,CORP SAP
ACL v7.12,Finance,GCC Fin & Citizen,GCC Citizen Centric
Acrobat Professional v11,Desktop,GCC Desktop Model Office,DLM Scotland
Actuate,Social Care,GCC Social Care,GCC Citizen Centric
Actuate e.report designer professional,Social Care,GCC Social Care,GCC Citizen Centric
AD Info,Desktop,GCC Desktop Model Office,DLM Scotland
ADAPT v1.3,SAP,GCC SAP,CORP SAP
Address Gazateer,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
ADMS-Urban,GenApps,GCC General Apps,GCC Line of Business
"Adobe Acrobat CC Suite (Cloud version, including InDesign, Bridge, Photoshop, Illiustrator)",Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Adobe Bridge,Desktop,GCC Desktop Model Office,DLM Scotland
Adobe Extension Mgr,Desktop,GCC Desktop Model Office,DLM Scotland
Adobe Fireworks,Desktop,GCC Desktop Model Office,DLM Scotland
Adobe illustrator,Desktop,GCC Desktop Model Office,DLM Scotland
Adobe InDesign,Desktop,GCC Desktop Model Office,DLM Scotland
Adobe Photoshop,Desktop,GCC Desktop Model Office,DLM Scotland
Adobe Pro,Desktop,GCC Desktop Model Office,DLM Scotland
Advantage Database Server,GenApps,GCC General Apps,GCC Line of Business
Advice Pro,Desktop,GCC Desktop Model Office,DLM Scotland
AdviserNet,GenApps,GCC General Apps,GCC Line of Business
AIMS.net v1.4.3799,GenApps,GCC General Apps,GCC Line of Business
AIRE for Paramics,GenApps,GCC General Apps,GCC Line of Business
AirQ for Windows v1.12,GenApps,GCC General Apps,GCC Line of Business
